TIME,DATE,"ActTmpBrlZn[1,1]",Upper limit,Lower Limit,Setpoint
14:25:53,20200724,220,230,210,220
14:26:03,20200724,220,230,210,220
14:26:03,20200724,220,230,210,220
14:26:18,20200724,220,230,210,220
14:26:18,20200724,220,230,210,220
14:26:28,20200724,220,230,210,220
14:26:28,20200724,220,230,210,220
14:26:38,20200724,220.1,230,210,220
14:26:38,20200724,220.1,230,210,220
14:26:53,20200724,220.1,230,210,220
14:26:54,20200724,220.1,230,210,220
14:27:03,20200724,220,230,210,220
14:27:04,20200724,220,230,210,220
14:27:14,20200724,220,230,210,220
14:27:14,20200724,220,230,210,220
14:27:29,20200724,220,230,210,220
14:27:30,20200724,220,230,210,220
14:27:40,20200724,220,230,210,220
14:27:40,20200724,220,230,210,220
