TIME,DATE,@ActExtTorque6,@ActConsumpPower
10:59:39,20200822,19.94,15.1
10:59:49,20200822,20.15,14.6
10:59:59,20200822,19.94,14.7
11:00:14,20200822,19.99,15.1
11:00:25,20200822,19.61,15.7
11:00:40,20200822,20.03,16.2
11:00:50,20200822,19.9,17.2
11:01:05,20200822,19.9,18.0
11:01:15,20200822,20.15,18.8
11:01:26,20200822,20.2,19.9
11:01:41,20200822,20.07,20.6
11:01:51,20200822,20.28,20.7
11:02:01,20200822,19.9,21.3
11:02:16,20200822,19.82,21.6
11:02:27,20200822,20.07,22.0
11:02:37,20200822,19.99,22.8
11:02:52,20200822,19.9,22.6
11:03:02,20200822,20.15,22.2
11:03:17,20200822,20.07,21.4
11:03:27,20200822,19.94,19.4
11:03:37,20200822,19.94,18.4
11:03:53,20200822,19.86,17.4
11:04:03,20200822,19.86,16.1
11:04:18,20200822,19.94,15.2
11:04:28,20200822,19.86,14.7
11:04:38,20200822,19.94,14.2
11:04:54,20200822,19.57,14.3
11:05:04,20200822,20.32,14.3
11:05:14,20200822,20.15,14.1
11:05:29,20200822,20.2,14.6
11:05:39,20200822,20.2,15.3
11:05:55,20200822,20.15,16.4
11:06:05,20200822,20.45,17.1
11:06:15,20200822,20.41,18.2
11:06:30,20200822,20.66,19.4
11:06:40,20200822,20.41,20.9
11:06:56,20200822,20.28,21.9
11:07:06,20200822,20.41,22.5
11:07:16,20200822,20.32,23.1
11:07:31,20200822,20.28,23.1
11:07:41,20200822,20.28,22.6
11:07:51,20200822,20.2,22.6
11:08:07,20200822,20.49,21.9
11:08:17,20200822,20.66,20.7
11:08:32,20200822,20.49,19.8
11:08:42,20200822,20.24,18.6
11:08:52,20200822,20.15,16.8
11:09:07,20200822,20.03,15.7
11:09:17,20200822,19.99,15.1
11:09:33,20200822,19.99,14.9
11:09:43,20200822,19.99,14.2
11:09:53,20200822,19.74,14.1
11:10:08,20200822,19.86,14.1
11:10:18,20200822,20.07,13.8
11:10:28,20200822,19.78,13.9
11:10:44,20200822,20.07,14.0
11:10:54,20200822,19.9,15.0
11:11:09,20200822,19.99,15.9
11:11:19,20200822,19.99,16.5
11:11:29,20200822,19.57,18.3
11:11:44,20200822,19.9,19.9
11:11:55,20200822,20.15,21.1
11:12:10,20200822,20.32,22.2
11:12:20,20200822,20.36,22.9
11:12:30,20200822,20.45,22.8
11:12:45,20200822,20.36,23.0
11:12:55,20200822,20.11,22.3
