TIME,DATE,ActStsMach,ActTimCyc,ActTimFill[1],ActTimPlst[1],ActStrCsh[1],ActStrPlst[1],ActPrsMachSpecMax,ActCntCyc,@ActCntCycGood,ActCntCycRej,"ActTmpBrlZn[1,1]","ActTmpBrlZn[1,3]","ActTmpBrlZn[1,4]","ActTmpBrlZn[1,5]","ActTmpBrlZn[1,8]",@Set_SB_Nozzle1Temperature,@Set_SB_Barrel1Temperature,@Set_SB_Barrel2Temperature,@Set_SB_Barrel3Temperature,@Set_SB_FeedThroatTemperature,@Set_SB_UpperLimitOfNozzle1Temperature,@Set_SB_UpperLimitOfBarrel1Temperature,@Set_SB_UpperLimitOfBarrel2Temperature,@Set_SB_UpperLimitOfBarrel3Temperature,@Set_SB_UpperLimitOfFeedThroatTemperature,@Set_SB_LowerLimitOfNozzle1Temperature,@Set_SB_LowerLimitOfBarrel1Temperature,@Set_SB_LowerLimitOfBarrel2Temperature,@Set_SB_LowerLimitOfBarrel3Temperature,@Set_SB_LowerLimitOfFeedThroatTemperature,@ActExtStartPos,SetRecMld,@ActExtTorque6,@ActConsumpPower,@ActInjPeakTime,@ActInjPeakPos,@ActCntCycNoReset,ActPrsXfrSpec[1],@ActContainerGood,@ActInjStartPrs,@ActFlowPeak,@ActBackFlow,@ActLockUpTime,@ActScrewRev,@ActClampOpenTime,@ActEjectTime,@ActPackEndPrs,@ActPackEndPos,@ActResidenceTime,ActStrXfr[1],ActStrCsh[1]
16:41:53,20200821,0A000,12.08,0.335,2.48,4.83,48,87.3,293054,292926,128,220,220.1,219.7,219.3,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.76,L99- NOM,19.57,20.4,0.337,7.74,3887022,87,0,-0.4,3.31,2.15,0.25,0.22,4.82,1.28,57.6,4.83,7.94,8,4.83
16:42:03,20200821,0A000,12.1,0.335,2.47,4.92,48,87.4,293055,292927,128,220,220,219.7,219.4,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.75,L99- NOM,19.94,19.7,0.337,7.74,3887023,87.1,0,-0.5,3.35,2.15,0.25,0.22,4.84,1.29,57.6,4.92,7.95,8,4.92
16:42:13,20200821,0A000,12.1,0.335,2.47,4.89,48,87.5,293056,292928,128,220,220,219.7,219.4,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.83,L99- NOM,20.11,19,0.337,7.74,3887024,87.2,0,-0.5,3.31,2.11,0.25,0.22,4.84,1.29,57.6,4.89,7.97,8,4.89
16:42:28,20200821,0A000,12.07,0.335,2.47,4.88,48,87.4,293057,292929,128,220,220,219.8,219.5,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.81,L99- NOM,20.07,19,0.337,7.74,3887025,87,0,-0.4,3.28,2.11,0.25,0.22,4.82,1.28,57.5,4.88,7.97,8,4.88
16:42:39,20200821,0A000,12.08,0.335,2.49,4.93,48,87.5,293058,292930,128,219.9,220,219.9,219.6,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.8,L99- NOM,19.9,17.9,0.337,7.74,3887026,87.1,0,-0.5,3.43,2.15,0.25,0.22,4.82,1.28,57.5,4.93,7.93,8,4.93
16:42:54,20200821,0A000,12.08,0.335,2.47,4.91,48,87.5,293059,292931,128,220,220,220.1,219.8,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.85,L99- NOM,19.86,17,0.337,7.74,3887027,87.2,0,-0.5,3.39,2.18,0.26,0.22,4.81,1.28,57.6,4.91,7.96,8,4.91
16:43:04,20200821,0A000,12.08,0.335,2.48,4.86,48,87.4,293060,292932,128,220,220,220.2,220,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.82,L99- NOM,19.86,16.1,0.337,7.74,3887028,87,0,-0.4,3.39,2.18,0.25,0.22,4.82,1.28,57.5,4.86,7.93,8,4.86
16:43:14,20200821,0A000,12.1,0.335,2.48,4.93,48,87.6,293061,292933,128,220.1,220,220.3,220.2,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.78,L99- NOM,19.94,15.3,0.337,7.74,3887029,87.3,0,-0.5,3.43,2.15,0.25,0.22,4.84,1.28,57.5,4.93,7.94,8,4.93
16:43:24,20200821,0A000,12.09,0.335,2.49,4.89,48,87.4,293062,292934,128,220.1,220,220.4,220.4,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.84,L99- NOM,19.44,14.6,0.337,7.71,3887030,87.1,0,-0.4,3.24,2.07,0.25,0.22,4.84,1.28,57.5,4.89,7.93,8,4.89
16:43:40,20200821,0A000,12.1,0.335,2.48,4.93,48,87.6,293063,292935,128,220,219.9,220.5,220.6,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.8,L99- NOM,19.78,14.6,0.337,7.74,3887031,87.2,0,-0.5,3.39,2.07,0.25,0.22,4.84,1.28,57.5,4.93,7.96,8,4.93
